chart|date|executionTime|responseCode
2016/10/05|15:30:00|0.804|200
2016/10/05|15:35:00|3.274|200
2016/10/05|15:40:00|3.756|200
2016/10/05|15:45:00|124.0|200
2016/10/05|15:50:00|3.467|200
2016/10/05|15:55:00|3.599|200
2016/10/05|16:00:00|3.346|200
2016/10/05|16:05:00|4.043|200
2016/10/05|16:10:00|0.842|200
2016/10/05|16:15:00|0.738|200
2016/10/05|16:20:00|0.766|200
2016/10/05|16:25:00|4.124|200
2016/10/05|16:30:00|3.041|200
2016/10/05|16:35:00|0.723|200
2016/10/05|16:45:10|0.732|200
2016/10/05|16:50:00|7.131|200
2016/10/05|16:55:00|87.859|200
2016/10/05|17:00:00|2.842|200
