chart|date|executionTime|responseCode
2016/10/05|15:30:01|11.039|200
2016/10/05|15:35:01|3.154|200
2016/10/05|15:40:01|2.969|200
2016/10/05|15:45:01|4.652|200
2016/10/05|15:50:01|4.752|200
2016/10/05|15:55:00|3.348|200
2016/10/05|16:00:01|3.527|200
2016/10/05|16:05:00|2.995|200
2016/10/05|16:10:01|3.811|200
2016/10/05|16:15:01|4.031|200
2016/10/05|16:20:01|15.981|200
2016/10/05|16:25:01|3.213|200
2016/10/05|16:30:00|3.584|200
2016/10/05|16:35:00|3.439|200
2016/10/05|16:45:11|3.783|200
2016/10/05|16:50:01|3.258|200
