chart|date|executionTime|upstreamLatency|proxyLatency|responseCode
2017/02/17|08:50:03|630|618|0|200
2017/02/17|09:00:02|601|611|0|200
2017/02/17|09:10:02|595|635|0|200
2017/02/17|09:20:02|646|648|0|200
2017/02/17|09:30:02|816|668|0|200
2017/02/17|09:40:02|602|648|0|200
2017/02/17|09:50:04|627|624|0|200
2017/02/17|10:00:02|624|608|0|200
2017/02/17|10:10:02|603|638|0|200
2017/02/17|10:20:02|649|632|0|200
2017/02/17|10:30:03|597|609|0|200
2017/02/17|10:40:02|613|630|0|200
2017/02/17|10:50:02|655|624|0|200
2017/02/17|11:00:02|602|611|0|200
2017/02/17|11:10:06|594|634|0|200
2017/02/17|11:20:02|640|624|0|200
2017/02/17|11:30:03|599|609|0|200
2017/02/17|11:40:03|599|638|0|200
2017/02/17|11:50:02|632|631|0|200
2017/02/17|12:00:03|603|611|0|200
2017/02/17|12:10:08|591|624|0|200
2017/02/17|12:20:08|616|636|0|200
2017/02/17|12:30:08|601|612|0|200
2017/02/17|12:40:03|595|631|0|200
2017/02/17|12:50:03|638|615|0|200
2017/02/17|13:00:03|598|608|0|200
2017/02/17|13:10:03|596|637|0|200
2017/02/17|13:20:03|627|621|0|200
2017/02/17|13:30:02|610|609|0|200
2017/02/17|13:40:03|591|642|0|200
2017/02/17|13:50:03|626|617|0|200
2017/02/17|14:00:03|592|611|0|200
2017/02/17|14:10:04|597|636|0|200
2017/02/17|14:20:03|631|626|0|200
2017/02/17|14:30:03|598|612|0|200
2017/02/17|14:40:03|595|632|0|200
2017/02/17|14:50:03|632|616|0|200
2017/02/17|15:00:03|598|618|0|200
2017/02/17|15:10:03|594|640|0|200
2017/02/17|15:20:03|624|614|0|200
2017/02/17|15:30:03|596|609|0|200
2017/02/17|15:40:02|596|629|0|200
2017/02/17|15:50:03|610|617|0|200
2017/02/17|16:00:03|610|643|0|200
2017/02/17|16:10:03|618|612|0|200
2017/02/17|16:20:03|622|625|0|200
2017/02/17|16:30:03|596|638|0|200
2017/02/17|16:40:03|616|610|0|200
2017/02/17|16:50:03|611|625|0|200
2017/02/17|17:00:03|602|643|0|200
2017/02/17|17:10:03|615|627|0|200
2017/02/17|17:20:03|604|629|0|200
2017/02/17|17:30:03|595|640|0|200
2017/02/17|17:40:03|617|632|0|200
2017/02/17|17:50:03|607|654|0|200
2017/02/17|18:00:03|599|629|0|200
2017/02/17|18:10:03|635|620|0|200
2017/02/17|18:20:03|593|612|0|200
2017/02/17|18:30:03|615|649|0|200
2017/02/17|18:40:03|635|608|0|200
